,Vision Backbone,Scene Description,Method,Number of Updates,Accuracy
0,ViT-B/32,Detailed,audio,1,0.7134146341463414
1,ViT-B/32,Detailed,visual,1,0.6636363636363637
2,ViT-B/32,Detailed,joint,1,0.7
3,ViT-B/32,Detailed,audio,2,0.7134146341463414
4,ViT-B/32,Detailed,visual,2,0.7333333333333333
5,ViT-B/32,Detailed,joint,2,0.7134146341463414
6,ViT-B/32,Detailed,audio,3,0.7134146341463414
7,ViT-B/32,Detailed,visual,3,0.6848484848484848
8,ViT-B/32,Detailed,joint,3,0.7317073170731707
9,ViT-B/32,Detailed,audio,4,0.7652439024390244
10,ViT-B/32,Detailed,visual,4,0.6848484848484848
11,ViT-B/32,Detailed,joint,4,0.7439024390243902
12,ViT-B/32,Detailed,audio,5,0.7652439024390244
13,ViT-B/32,Detailed,visual,5,0.6878787878787879
14,ViT-B/32,Detailed,joint,5,0.7439024390243902
15,ViT-B/32,Detailed,audio,6,0.7682926829268293
16,ViT-B/32,Detailed,visual,6,0.703030303030303
17,ViT-B/32,Detailed,joint,6,0.75
18,ViT-B/32,Detailed,audio,7,0.774390243902439
19,ViT-B/32,Detailed,visual,7,0.6606060606060606
20,ViT-B/32,Detailed,joint,7,0.7469512195121951
21,ViT-B/32,Detailed,audio,8,0.774390243902439
22,ViT-B/32,Detailed,visual,8,0.693939393939394
23,ViT-B/32,Detailed,joint,8,0.7469512195121951
24,ViT-B/32,Detailed,audio,9,0.7774390243902439
25,ViT-B/32,Detailed,visual,9,0.7363636363636363
26,ViT-B/32,Detailed,joint,9,0.7469512195121951
27,ViT-B/32,Detailed,audio,10,0.7774390243902439
28,ViT-B/32,Detailed,visual,10,0.6818181818181818
29,ViT-B/32,Detailed,joint,10,0.75
30,ViT-B/32,Detailed,audio,11,0.7682926829268293
31,ViT-B/32,Detailed,visual,11,0.703030303030303
32,ViT-B/32,Detailed,joint,11,0.746177370030581
33,ViT-B/32,Detailed,audio,12,0.7682926829268293
34,ViT-B/32,Detailed,visual,12,0.7090909090909091
35,ViT-B/32,Detailed,joint,12,0.7446153846153846
36,ViT-B/32,Detailed,audio,13,0.7865853658536586
37,ViT-B/32,Detailed,visual,13,0.7272727272727273
38,ViT-B/32,Detailed,joint,13,0.7446153846153846
39,ViT-B/32,Detailed,audio,14,0.7896341463414634
40,ViT-B/32,Detailed,visual,14,0.6818181818181818
41,ViT-B/32,Detailed,joint,14,0.7446153846153846
42,ViT-B/32,Detailed,audio,15,0.7896341463414634
43,ViT-B/32,Detailed,visual,15,0.6909090909090909
44,ViT-B/32,Detailed,joint,15,0.7438271604938271
45,ViT-B/32,Detailed,audio,16,0.7987804878048781
46,ViT-B/32,Detailed,visual,16,0.706060606060606
47,ViT-B/32,Detailed,joint,16,0.7438271604938271
48,ViT-B/32,Detailed,audio,17,0.7957317073170732
49,ViT-B/32,Detailed,visual,17,0.693939393939394
50,ViT-B/32,Detailed,joint,17,0.739938080495356
51,ViT-B/32,Detailed,audio,18,0.7926829268292683
52,ViT-B/32,Detailed,visual,18,0.703030303030303
53,ViT-B/32,Detailed,joint,18,0.7430340557275542
54,ViT-B/32,Detailed,audio,19,0.7957317073170732
