,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,0.0,,,,
1,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,0.0,,,,
2,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,0.0,,,,
3,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996167.3013215,0,person,supervisor,move-in-reverse
4,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996170.2680075,0,person,supervisor,move-in-reverse
5,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996171.267994,0,person,supervisor,move-in-reverse
6,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996172.268268,0,person,supervisor,move-in-reverse
7,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996173.2682767,0,person,supervisor,move-in-reverse
8,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996174.3015983,0,person,supervisor,move-in-reverse
9,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996175.2016,0,person,supervisor,move-in-reverse
10,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996176.268252,0,person,supervisor,move-in-reverse
11,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996177.2016153,0,person,supervisor,move-in-reverse
12,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996178.2682703,0,person,supervisor,move-in-reverse
13,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996179.1682649,0,person,supervisor,move-in-reverse
14,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996180.301936,0,person,supervisor,move-in-reverse
15,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996181.2685566,0,person,supervisor,move-in-reverse
16,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996182.3018708,0,person,supervisor,move-in-reverse
17,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996183.2685306,0,person,supervisor,move-in-reverse
18,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996184.1685452,0,person,supervisor,move-in-reverse
19,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996185.2018783,0,person,supervisor,move-in-reverse
20,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996186.2018723,0,person,supervisor,move-in-reverse
21,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996187.3018734,0,person,supervisor,move-in-reverse
22,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996188.2687604,0,person,supervisor,move-in-reverse
23,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996189.3353863,0,person,supervisor,move-in-reverse
24,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996190.3020809,0,person,supervisor,move-in-reverse
25,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996191.2687473,0,person,supervisor,move-in-reverse
26,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996192.2354126,0,person,supervisor,move-in-reverse
27,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996193.2687366,0,person,supervisor,move-in-reverse
28,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996194.2687545,0,person,supervisor,move-in-reverse
29,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996195.2020752,0,person,supervisor,move-in-reverse
30,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-in-reverse,artag,artag,1720996196.235408,0,person,supervisor,move-in-reverse
31,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996196.4355836,0,person,supervisor,move-in-reverse
32,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996114.466505,0,person,supervisor,move-forward
33,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996115.4665008,0,person,supervisor,move-forward
34,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996116.4331653,0,person,supervisor,none
35,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996117.500061,0,person,supervisor,none
36,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996118.4000716,0,person,supervisor,none
37,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996119.4334173,0,person,supervisor,move-forward
38,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996120.4334104,0,person,supervisor,move-forward
39,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996121.5000696,0,person,supervisor,move-forward
40,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996122.4667273,0,person,supervisor,none
41,config/exp3_cmd_cfgs/ar_role_ar_cmd.yaml,lab,supervisor,artag,move-forward,artag,artag,1720996123.4000704,0,person,supervisor,none
