,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,0.0,,,,
1,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,0.0,,,,
2,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351850.6347692,0,person,supervisor,none
3,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351851.5681071,0,person,supervisor,none
4,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351852.6014369,0,person,supervisor,none
5,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351853.6347609,0,person,supervisor,none
6,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351854.601433,0,person,supervisor,none
7,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351855.6681018,0,person,supervisor,none
8,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351856.568095,0,person,supervisor,none
9,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351857.6346781,0,person,supervisor,none
10,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351858.6679926,0,person,supervisor,none
11,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351859.5346584,0,person,supervisor,none
12,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351860.601347,0,person,supervisor,none
13,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351861.601333,0,person,supervisor,none
14,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351862.6013365,0,person,supervisor,none
15,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351863.6346595,0,person,supervisor,move-forward
16,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351864.534656,0,person,supervisor,none
17,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351865.634664,0,person,supervisor,none
18,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351866.5679934,0,person,supervisor,none
19,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351867.567998,0,person,supervisor,advance
20,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351868.6680055,0,person,supervisor,none
21,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351869.6680014,0,person,supervisor,none
22,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351870.6013384,0,person,supervisor,none
23,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351871.567996,0,person,supervisor,none
24,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351872.6012964,0,person,supervisor,none
25,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351873.6679711,0,person,supervisor,none
26,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351874.6679754,0,person,supervisor,none
27,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351875.5679662,0,person,supervisor,none
28,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351876.5679455,0,person,supervisor,none
29,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351877.634631,0,person,supervisor,advance
30,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,rally,artag,gesture,1721351878.6346242,0,person,supervisor,move-forward
31,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351878.9346251,0,person,supervisor,move-forward
32,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351951.5675685,0,person,supervisor,move-forward
33,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351952.600914,0,person,supervisor,none
34,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351953.667573,0,person,supervisor,move-forward
35,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351954.567575,0,person,supervisor,none
36,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351955.634233,0,person,supervisor,move-forward
37,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351956.6342623,0,person,supervisor,none
38,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351957.3342268,0,person,supervisor,none
39,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351958.6009312,0,person,supervisor,none
40,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351959.5676727,0,person,supervisor,none
41,config/exp3_cmd_cfgs/ar_role_gesture_r80_w8_cmd.yaml,campus,supervisor,gesture,move-forward,artag,gesture,1721351960.634257,0,person,supervisor,move-in-reverse
