,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,0.0,,,,
1,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,0.0,,,,
2,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,0.0,,,,
3,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352460.594935,0,person,supervisor,none
4,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352463.594928,0,person,supervisor,attention
5,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352464.4949422,0,person,supervisor,attention
6,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352465.4949307,0,person,supervisor,attention
7,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352466.5282688,0,person,supervisor,attention
8,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352467.5616143,0,person,supervisor,attention
9,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352468.4951472,0,person,supervisor,attention
10,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352469.5618198,0,person,supervisor,attention
11,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352470.5617845,0,person,supervisor,attention
12,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352471.5951478,0,person,supervisor,attention
13,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352472.561804,0,person,supervisor,attention
14,config/exp3_cmd_cfgs/ar_role_gesture_r80_w16_cmd.yaml,campus,supervisor,gest_verb,move-forward,artag,gesture,1721352473.4951363,0,person,supervisor,attention
