,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,0.0,,,,
1,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,0.0,,,,
2,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,0.0,,,,
3,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996664.6448307,0,person,supervisor,none
4,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996667.6448188,0,person,supervisor,none
5,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996668.6781745,0,person,supervisor,none
6,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996669.6781666,0,person,supervisor,none
7,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996670.678162,0,person,supervisor,none
8,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996671.6116672,0,person,supervisor,none
9,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996672.7116547,0,person,supervisor,none
10,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996673.6783202,0,person,supervisor,none
11,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996674.678329,0,person,supervisor,none
12,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996675.6117005,0,person,supervisor,none
13,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996676.6783135,0,person,supervisor,none
14,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996677.5783043,0,person,supervisor,none
15,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996678.6783226,0,person,supervisor,none
16,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,move-forward,artag,verbal,1720996679.6451461,0,person,supervisor,none
